Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Return %
MMTC,2020-12-30,2021-08-23,27.149999618530273,39.5,45.48803151010239
NCC,2021-01-01,2021-08-23,60.849998474121094,70.8499984741211,16.43385415079821
RVNL,2021-01-07,2021-08-23,29.049999237060547,27.649999618530273,-4.81927592185346
MADRASFERT,2021-01-08,2021-08-23,25.649999618530273,26.450000762939453,3.1189128900853236
NBCC,2021-02-24,2021-08-23,26.100000381469727,27.266666412353516,4.469984727326248
JINDALSTEL,2020-11-20,2021-09-20,236.5500030517578,351.1000061035156,48.425280733010155
NMDC,2021-04-05,2021-09-20,36.11338424682617,34.845123291015625,-3.511886194720193
STARCEMENT,2020-12-07,2021-10-18,97.9499969482422,102.8000030517578,4.951512255869073
NOIDATOLL,2021-10-11,2021-10-18,8.649999618530273,7.150000095367432,-17.341035714608587
KANSAINER,2020-11-17,2021-10-19,357.0333251953125,383.2999877929687,7.35692181767269
SUVEN,2021-10-07,2021-10-21,109.40393829345705,92.22175598144533,-15.705268548855623
SHALBY,2021-05-04,2021-10-28,133.0500030517578,149.5500030517578,12.401352590410198
SHANTI,2021-10-08,2021-10-29,26.549999237060547,22.200000762939453,-16.38417551458543
RECLTD,2021-06-09,2021-11-15,122.9625015258789,106.5749969482422,-13.327237470187415
GAIL,2021-01-06,2021-11-18,89.33333587646484,93.96666717529295,5.186564739097332
NAVINFLUOR,2020-11-17,2021-11-22,2597.60009765625,3287.449951171875,26.557200014661973
SHAKTIPUMP,2020-12-04,2021-11-22,46.26666641235352,95.9749984741211,107.4387586491321
RAIN,2020-12-04,2021-11-22,125.6999969482422,195.6499938964844,55.64836805608242
MANAKSIA,2020-12-08,2021-11-22,51.900001525878906,61.20000076293945,17.91907314766319
IDBI,2021-10-12,2021-11-22,58.099998474121094,47.79999923706055,-17.728054229895328
PFC,2021-09-28,2021-11-24,114.4800033569336,99.27999877929688,-13.277431981064069
TATASTEEL,2020-11-17,2021-11-26,52.27000045776367,111.2300033569336,112.79893319842623
HDFCBANK,2020-11-17,2021-11-26,704.2249755859375,744.9500122070312,5.782958292157869
SAIL,2020-12-02,2021-11-26,51.70000076293945,103.6500015258789,100.4835589870614
CANBK,2021-11-08,2021-11-26,48.849998474121094,40.529998779296875,-17.031729692339383
BANKBARODA,2021-11-08,2021-11-26,105.6500015258789,88.8499984741211,-15.901564419421865
INTELLECT,2020-11-17,2021-11-29,258.29998779296875,614.5999755859375,137.94038119682313
JKTYRE,2021-01-14,2021-11-29,88.75,127.8499984741211,44.05633630886885
